URL,ProjectName,Path,Status,DeadAliveStatus
https://github.com/cloudmesh/cloudmesh-common,cloudmesh-common,../PythonFiles_keep/cloudmesh-common,Succeeded,Alive
https://github.com/Salamek/cron-descriptor,cron-descriptor,../PythonFiles_keep/cron-descriptor,Succeeded,Alive
https://github.com/pandas-profiling/pandas-profiling,pandas-profiling,../PythonFiles_keep/pandas-profiling,Succeeded,Alive
https://github.com/geopython/pygeometa,pygeometa,../PythonFiles_keep/pygeometa,Succeeded,Alive
https://github.com/diarmuidcwc/AcraNetwork,AcraNetwork,../PythonFiles_keep/AcraNetwork,Succeeded,Alive
https://github.com/analysiscenter/batchflow,batchflow,../PythonFiles_keep/batchflow,Succeeded,Alive
https://github.com/thxo/cabrillo,cabrillo,../PythonFiles_keep/cabrillo,Succeeded,Alive
https://github.com/numat/alicat,alicat,../PythonFiles_keep/alicat,Succeeded,Alive
https://github.com/centrifugal/centrifuge-python,centrifuge-python,../PythonFiles_keep/centrifuge-python,Succeeded,Alive
https://github.com/jlaska/pytest-ansible,pytest-ansible,../PythonFiles_keep/pytest-ansible,Succeeded,Alive
https://github.com/mgrp/django-distill,django-distill,../PythonFiles_keep/django-distill,Succeeded,Alive
https://github.com/UCDavisLibrary/almapipy,almapipy,../PythonFiles_keep/almapipy,Succeeded,dead
https://github.com/fp12/achallonge,achallonge,../PythonFiles_keep/achallonge,Succeeded,dead
https://github.com/MineRobber9000/archive-cdx,archive-cdx,../PythonFiles_keep/archive-cdx,Succeeded,dead
https://github.com/centrifugal/adjacent,adjacent,../PythonFiles_keep/adjacent,Succeeded,dead
https://github.com/kennedyshead/aioasuswrt,aioasuswrt,../PythonFiles_keep/aioasuswrt,Succeeded,dead
https://github.com/NightKhaos/accustom,accustom,../PythonFiles_keep/accustom,Succeeded,dead
https://github.com/ramon-oliveira/aorun,aorun,../PythonFiles_keep/aorun,Succeeded,dead
https://github.com/MatteoLacki/aa2atom,aa2atom,../PythonFiles_keep/aa2atom,Succeeded,dead
https://github.com/kootenpv/access_points,access_points,../PythonFiles_keep/access_points,Succeeded,dead
https://github.com/bethgelab/adversarial-vision-challenge,adversarial-vision-challenge,../PythonFiles_keep/adversarial-vision-challenge,Succeeded,dead
https://github.com/Apstra/aeon-venos,aeon-venos,../PythonFiles_keep/aeon-venos,Succeeded,dead
https://github.com/datamade/affinegap,affinegap,../PythonFiles_keep/affinegap,Succeeded,dead
https://github.com/royels/Affirmpy,Affirmpy,../PythonFiles_keep/Affirmpy,Succeeded,dead
https://github.com/tkukushkin/aioamqp-consumer-best,aioamqp-consumer-best,../PythonFiles_keep/aioamqp-consumer-best,Succeeded,dead
https://github.com/rob-blackbourn/aiohttp-route-middleware,aiohttp-route-middleware,../PythonFiles_keep/aiohttp-route-middleware,Succeeded,dead
https://github.com/rominf/aiojira,aiojira,../PythonFiles_keep/aiojira,Succeeded,dead
https://github.com/macrovve/aisparser,aisparser,../PythonFiles_keep/aisparser,Succeeded,dead
